timex,start_x,start_v,start_ph,start_prs,start_pxr,start_ps,start_wfs,start_wfh,start_wfvrs,start_wfvx,start_uf_net,start_uf,start_px,start_a,start_m,tri_x,tri_v,tri_ped,tri_pes,tri_pd,tri_pld,tri_plr,tri_ps,tri_wfd,tri_wfde,tri_wfld,tri_wfle,tri_wflr,tri_wfs,tri_wfse,tri_wfxd,tri_wfsx,tri_wfx,tri_uf_net,tri_uf,tri_m,tri_fext,tri_pel,tri_px,mv_x,mv_v,mv_ps,mv_px,mv_pr,mv_pc,mv_pa,mv_pw,mv_pd,mv_wfs,mv_wfd,mv_wfsr,mv_wfwd,mv_wfw,mv_wfwx,mv_wfxa,mv_wfrc,mv_wfx,mv_wfa,mv_wfc,mv_wfr,mv_uf_net,mv_uf,mv_m,hs_x,hs_v,hs_pf,hs_ph,hs_pl,hs_plx,hs_wff,hs_wfh,hs_wfl,hs_uf_net,hs_uf,hs_f_f,hs_f_cf,fp_sg,fp_beta
8.00E-06,0.116390742,0.00070264,448.54,448.54,72.634,1448.7,710.89,-710.89,0.0038848,0.0038848,0.050368,0.050368,72.634,180.34,0.10781,-0.0017857,0,72.634,1448.709106,72.634,720.18,736.8,1453.7,99.633,0,0,0,0,114.97,0,99.633,114.97,15.334,0,-0.049305,0.055,-11.379,72.634,720.18,-0.042234,0,448.33,198.59,198.59,73.603,14.696,448.33,395.85,106.21,106.21,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0.0062509,-0.002139,317.84,448.33,395.83,395.83,-116.28,116.21,-0.063779,-0.068727,-0.068727,-0.33386,0.61,0.75,1.35E+05
9.00E-06,0.116390742,0.00089439,448.53,448.53,72.514,1448.6,710.86,-710.86,0.0049449,0.0049449,0.056776,0.056776,72.514,203.28,0.10781,-0.0017857,0,72.514,1448.610352,72.514,737.59,719.43,1453.8,100.97,0,0,0,0,113.6,0,100.97,113.6,12.63,0,-0.048706,0.055,-11.379,72.514,737.59,-0.042234,0,448.3,198.59,198.59,73.604,14.696,448.3,395.85,106.19,106.19,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0.0062509,-0.0027037,317.82,448.3,395.83,395.83,-116.27,116.19,-0.080617,-0.077102,-0.077102,-0.33383,0.61,0.75,1.35E+05
1.00E-05,0.116390742,0.0011091,448.53,448.53,72.395,1448.5,710.83,-710.83,0.0061322,0.0061322,0.063153,0.063153,72.395,226.11,0.10781,-0.0017857,0,72.395,1448.528076,72.395,720.15,736.83,1453.9,99.649,0,0,0,0,114.98,0,99.649,114.98,15.335,0,-0.047653,0.055,-11.379,72.395,720.15,-0.042234,0,448.27,198.59,198.59,73.604,14.696,448.27,395.85,106.16,106.16,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0.0062509,-0.0033332,317.81,448.27,395.83,395.83,-116.26,116.16,-0.099386,-0.085467,-0.085467,-0.33379,0.61,0.75,1.35E+05
1.10E-05,0.116390742,0.0013467,448.53,448.53,72.275,1448.5,710.81,-710.81,0.0074455,0.0074455,0.069556,0.069556,72.275,249.04,0.10781,-0.0017857,0,72.275,1448.459839,72.275,737.61,719.4,1454,100.99,0,0,0,0,113.61,0,100.99,113.61,12.62,0,-0.046204,0.055,-11.379,72.275,737.61,-0.042234,0,448.25,198.59,198.59,73.605,14.696,448.25,395.85,106.13,106.13,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0.0062509,-0.0040274,317.8,448.25,395.83,395.83,-116.26,116.14,-0.12009,-0.093831,-0.093831,-0.33375,0.61,0.75,1.35E+05
1.20E-05,0.116390742,0.0016072,448.52,448.52,72.156,1448.4,710.79,-710.79,0.0088857,0.0088857,0.075922,0.075922,72.156,271.83,0.10781,-0.0017857,0,72.156,1448.40271,72.156,720.15,736.83,1454.1,99.668,0,0,0,0,114.99,0,99.668,114.99,15.326,0,-0.044449,0.055,-11.379,72.156,720.15,-0.042234,0,448.22,198.59,198.59,73.606,14.696,448.22,395.85,106.1,106.1,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0.0062509,-0.0047864,317.79,448.22,395.83,395.83,-116.25,116.11,-0.14272,-0.10218,-0.10218,-0.33372,0.61,0.75,1.35E+05
1.30E-05,0.116390742,0.0018904,448.52,448.52,72.037,1448.4,710.77,-710.77,0.010452,0.010452,0.082311,0.082311,72.037,294.7,0.10781,-0.0017857,0,72.037,1448.355347,72.037,737.62,719.4,1454.1,101.01,0,0,0,0,113.62,0,101.01,113.62,12.609,0,-0.042412,0.055,-11.379,72.037,737.62,-0.042234,0,448.19,198.59,198.59,73.607,14.696,448.19,395.85,106.07,106.07,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0.0062509,-0.00561,317.77,448.19,395.83,395.83,-116.24,116.08,-0.16728,-0.11051,-0.11051,-0.33368,0.61,0.75,1.35E+05
1.40E-05,0.116390742,0.0021965,448.52,448.52,71.919,1448.3,710.76,-710.76,0.012144,0.012144,0.088661,0.088661,71.919,317.44,0.10781,-0.0017857,0,71.919,1448.31543,71.919,720.15,736.83,1454.1,99.686,0,0,0,0,115,0,99.686,115,15.315,0,-0.040192,0.055,-11.379,71.919,720.15,-0.042234,0,448.16,198.59,198.59,73.608,14.696,448.16,395.85,106.04,106.04,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0.0062509,-0.0064981,317.76,448.16,395.83,395.83,-116.24,116.04,-0.19376,-0.11884,-0.11884,-0.33364,0.61,0.75,1.35E+05
1.50E-05,0.116390742,0.0025253,448.51,448.51,71.8,1448.3,710.75,-710.75,0.013962,0.013962,0.095033,0.095033,71.8,340.26,0.10781,-0.0017857,0,71.8,1448.282349,71.8,737.62,719.4,1454.2,101.03,0,0,0,0,113.63,0,101.03,113.63,12.597,0,-0.037766,0.055,-11.379,71.8,737.62,-0.042234,0,448.14,198.59,198.59,73.609,14.696,448.14,395.86,106.01,106.01,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0.0062509,-0.0074506,317.75,448.14,395.83,395.83,-116.23,116.01,-0.22216,-0.12715,-0.12715,-0.3336,0.61,0.75,1.35E+05
1.60E-05,0.116390742,0.002877,448.51,448.51,71.682,1448.3,710.74,-710.74,0.015906,0.015906,0.10136,0.10136,71.682,362.9,0.10781,-0.0017857,0,71.682,1448.254395,71.682,720.15,736.83,1454.2,99.704,0,0,0,0,115.01,0,99.704,115.01,15.302,0,-0.035217,0.055,-11.379,71.682,720.15,-0.042234,0,448.11,198.59,198.59,73.61,14.696,448.11,395.86,105.98,105.98,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0.0062509,-0.0084674,317.73,448.11,395.83,395.83,-116.22,115.97,-0.25248,-0.13546,-0.13546,-0.33357,0.61,0.75,1.35E+05
1.70E-05,0.116390742,0.0032512,448.51,448.51,71.564,1448.2,710.73,-710.73,0.017975,0.017975,0.10771,0.10771,71.564,385.63,0.10781,-0.0017857,0,71.564,1448.231323,71.564,737.62,719.39,1454.2,101.05,0,0,0,0,113.63,0,101.05,113.63,12.583,0,-0.03252,0.055,-11.379,71.564,737.62,-0.042234,0,448.08,198.59,198.59,73.612,14.696,448.08,395.86,105.95,105.95,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0.0062509,-0.0095486,317.72,448.08,395.83,395.83,-116.22,115.93,-0.28471,-0.14375,-0.14375,-0.33353,0.61,0.75,1.35E+05
1.80E-05,0.116390742,0.0036482,448.5,448.5,71.447,1448.2,710.73,-710.73,0.02017,0.02017,0.114,0.114,71.447,408.17,0.10781,-0.0017857,0,71.447,1448.211792,71.447,720.15,736.83,1454.2,99.722,0,0,0,0,115.01,0,99.722,115.01,15.287,0,-0.029747,0.055,-11.379,71.447,720.15,-0.042234,0,448.05,198.59,198.59,73.614,14.696,448.05,395.86,105.92,105.92,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0.0062509,-0.010694,317.71,448.05,395.83,395.83,-116.21,115.89,-0.31886,-0.15202,-0.15202,-0.33349,0.61,0.75,1.35E+05
1.90E-05,0.11639075,0.0040677,448.5,448.5,71.329,1448.2,710.72,-710.72,0.022489,0.022489,0.12031,0.12031,71.329,430.76,0.10781,-0.0017857,0,71.329,1448.195679,71.329,737.62,719.39,1454.3,101.07,0,0,0,0,113.63,0,101.07,113.63,12.569,0,-0.026875,0.055,-11.379,71.329,737.62,-0.042234,0,448.03,198.59,198.59,73.615,14.696,448.03,395.86,105.89,105.89,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0.0062509,-0.011903,317.7,448.03,395.83,395.83,-116.2,115.85,-0.35492,-0.16028,-0.16028,-0.33345,0.61,0.75,1.35E+05
2.00E-05,0.116390757,0.0045097,448.5,448.5,71.213,1448.2,710.72,-710.72,0.024933,0.024933,0.12658,0.12658,71.213,453.19,0.10781,-0.0017857,0,71.213,1448.182007,71.213,720.15,736.83,1454.3,99.74,0,0,0,0,115.01,0,99.74,115.01,15.272,0,-0.02396,0.055,-11.379,71.213,720.15,-0.042234,0,448,198.59,198.59,73.618,14.696,448,395.86,105.86,105.86,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0.0062508,-0.013176,317.68,448,395.83,395.83,-116.2,115.8,-0.39288,-0.16852,-0.16852,-0.33341,0.61,0.75,1.35E+05
2.10E-05,0.116390765,0.0049741,448.49,448.49,71.096,1448.2,710.71,-710.71,0.027501,0.027501,0.13285,0.13285,71.096,475.65,0.10781,-0.0017857,0,71.096,1448.170776,71.096,737.62,719.39,1454.3,101.08,0,0,0,0,113.64,0,101.08,113.64,12.553,0,-0.020966,0.055,-11.379,71.096,737.62,-0.042234,0,447.97,198.59,198.59,73.62,14.696,447.97,395.86,105.84,105.84,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0.0062508,-0.014513,317.67,447.97,395.83,395.83,-116.19,115.76,-0.43274,-0.17675,-0.17675,-0.33338,0.61,0.75,1.35E+05
2.20E-05,0.116390772,0.005461,448.49,448.49,70.98,1448.2,710.71,-710.71,0.030193,0.030193,0.13907,0.13907,70.98,497.93,0.10781,-0.0017857,0,70.98,1448.161255,70.98,720.15,736.83,1454.3,99.758,0,0,0,0,115.01,0,99.758,115.01,15.256,0,-0.017952,0.055,-11.379,70.98,720.15,-0.042234,0,447.94,198.59,198.59,73.623,14.696,447.94,395.86,105.81,105.81,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0.0062508,-0.015914,317.66,447.94,395.83,395.83,-116.18,115.71,-0.47451,-0.18496,-0.18496,-0.33334,0.61,0.75,1.35E+05
2.30E-05,0.11639078,0.0059701,448.49,448.49,70.864,1448.2,710.71,-710.71,0.033007,0.033007,0.14531,0.14531,70.864,520.25,0.10781,-0.0017857,0,70.864,1448.153564,70.864,737.62,719.39,1454.3,101.1,0,0,0,0,113.64,0,101.1,113.64,12.538,0,-0.014881,0.055,-11.379,70.864,737.62,-0.042234,0,447.92,198.59,198.59,73.625,14.696,447.92,395.87,105.78,105.78,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0.0062508,-0.017378,317.65,447.92,395.83,395.83,-116.18,115.66,-0.51816,-0.19314,-0.19314,-0.3333,0.61,0.75,1.35E+05
2.40E-05,0.116390787,0.0065015,448.48,448.48,70.749,1448.1,710.7,-710.7,0.035946,0.035946,0.15148,0.15148,70.749,542.37,0.10781,-0.0017857,0,70.749,1448.146973,70.749,720.15,736.83,1454.3,99.776,0,0,0,0,115.02,0,99.776,115.02,15.24,0,-0.011806,0.055,-11.379,70.749,720.15,-0.042234,0,447.89,198.59,198.59,73.628,14.696,447.89,395.87,105.75,105.75,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0.0062508,-0.018905,317.63,447.89,395.83,395.83,-116.17,115.61,-0.5637,-0.20131,-0.20131,-0.33326,0.61,0.75,1.35E+05
2.50E-05,0.116390795,0.0070549,448.48,448.48,70.634,1448.1,710.7,-710.7,0.039005,0.039005,0.15767,0.15767,70.634,564.52,0.10781,-0.0017857,0,70.634,1448.141724,70.634,737.62,719.39,1454.3,101.12,0,0,0,0,113.64,0,101.12,113.64,12.521,0,-0.0086899,0.055,-11.379,70.634,737.62,-0.042234,0,447.86,198.59,198.59,73.632,14.696,447.86,395.87,105.72,105.72,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0.0062508,-0.020496,317.62,447.86,395.83,395.83,-116.16,115.55,-0.61113,-0.20946,-0.20946,-0.33322,0.61,0.75,1.35E+05
2.60E-05,0.116390802,0.0076305,448.48,448.48,70.52,1448.1,710.7,-710.7,0.042188,0.042188,0.1638,0.1638,70.52,586.48,0.10781,-0.0017857,0,70.52,1448.137207,70.52,720.15,736.83,1454.3,99.793,0,0,0,0,115.02,0,99.793,115.02,15.223,0,-0.0055847,0.055,-11.379,70.52,720.15,-0.042234,0,447.83,198.59,198.59,73.635,14.696,447.83,395.87,105.69,105.69,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0.0062507,-0.022149,317.61,447.83,395.83,395.83,-116.15,115.49,-0.66044,-0.21759,-0.21759,-0.33318,0.61,0.75,1.35E+05
2.70E-05,0.116390809,0.008228,448.47,448.47,70.406,1448.1,710.7,-710.7,0.045491,0.045491,0.16994,0.16994,70.406,608.45,0.10781,-0.0017857,0,70.406,1448.133667,70.406,737.62,719.39,1454.3,101.13,0,0,0,0,113.64,0,101.13,113.64,12.505,0,-0.0024452,0.055,-11.379,70.406,737.62,-0.042234,0,447.81,198.59,198.59,73.639,14.696,447.81,395.87,105.66,105.66,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0.0062507,-0.023866,317.6,447.81,395.83,395.83,-116.15,115.44,-0.71162,-0.2257,-0.2257,-0.33314,0.61,0.75,1.35E+05
2.80E-05,0.116390817,0.0088474,448.47,448.47,70.292,1448.1,710.7,-710.7,0.048916,0.048916,0.17602,0.17602,70.293,630.21,0.10781,-0.0017857,0,70.292,1448.130615,70.292,720.14,736.83,1454.3,99.81,0,0,0,0,115.02,0,99.81,115.02,15.207,0,0.00067902,0.055,-11.379,70.292,720.14,-0.042234,0,447.78,198.59,198.59,73.643,14.696,447.78,395.87,105.63,105.63,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0.0062507,-0.025645,317.59,447.78,395.83,395.83,-116.14,115.38,-0.76467,-0.23378,-0.23378,-0.3331,0.61,0.75,1.35E+05
2.90E-05,0.116390824,0.0094885,448.47,448.47,70.179,1448.1,710.7,-710.7,0.05246,0.05246,0.1821,0.1821,70.18,651.99,0.10781,-0.0017857,0,70.179,1448.128296,70.179,737.61,719.39,1454.3,101.15,0,0,0,0,113.64,0,101.15,113.64,12.489,0,0.0038223,0.055,-11.379,70.179,737.61,-0.042234,0,447.75,198.59,198.59,73.648,14.696,447.75,395.87,105.6,105.6,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0.0062507,-0.027487,317.57,447.75,395.83,395.83,-116.13,115.31,-0.81958,-0.24184,-0.24184,-0.33306,0.61,0.75,1.35E+05
3.00E-05,0.116390832,0.010151,448.46,448.46,70.067,1448.1,710.7,-710.7,0.056125,0.056125,0.18813,0.18813,70.068,673.56,0.10781,-0.0017857,0,70.067,1448.126221,70.067,720.14,736.82,1454.3,99.827,0,0,0,0,115.02,0,99.827,115.02,15.191,0,0.0069466,0.055,-11.379,70.067,720.14,-0.042234,0,447.73,198.59,198.59,73.652,14.696,447.73,395.87,105.58,105.58,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0.0062506,-0.029391,317.56,447.73,395.83,395.83,-116.13,115.25,-0.87635,-0.24987,-0.24987,-0.33302,0.61,0.75,1.35E+05
3.10E-05,0.116390839,0.010836,448.46,448.46,69.955,1448.1,710.7,-710.7,0.059909,0.059909,0.19415,0.19415,69.956,695.13,0.10781,-0.0017857,0,69.955,1448.124756,69.955,737.61,719.38,1454.4,101.17,0,0,0,0,113.64,0,101.17,113.64,12.473,0,0.010086,0.055,-11.379,69.955,737.61,-0.042234,0,447.7,198.59,198.59,73.657,14.696,447.7,395.88,105.55,105.55,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0.0062506,-0.031357,317.55,447.7,395.82,395.82,-116.12,115.18,-0.93498,-0.25789,-0.25789,-0.33299,0.61,0.75,1.35E+05
3.20E-05,0.116390854,0.011542,448.46,448.46,69.844,1448.1,710.7,-710.7,0.063812,0.063812,0.20011,0.20011,69.845,716.48,0.10781,-0.0017857,0,69.844,1448.123413,69.844,720.14,736.82,1454.4,99.844,0,0,0,0,115.02,0,99.844,115.02,15.174,0,0.013199,0.055,-11.379,69.844,720.14,-0.042234,0,447.67,198.59,198.59,73.663,14.696,447.67,395.88,105.52,105.52,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0.0062506,-0.033385,317.54,447.67,395.82,395.82,-116.11,115.12,-0.99545,-0.26588,-0.26588,-0.33295,0.61,0.75,1.35E+05
3.30E-05,0.116390869,0.012269,448.45,448.45,69.733,1448.1,710.7,-710.7,0.067832,0.067832,0.20608,0.20608,69.734,737.83,0.10781,-0.0017857,0,69.733,1448.122559,69.733,737.61,719.38,1454.4,101.18,0,0,0,0,113.64,0,101.18,113.64,12.457,0,0.016323,0.055,-11.379,69.733,737.61,-0.042234,0,447.64,198.59,198.59,73.668,14.696,447.64,395.88,105.49,105.49,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0.0062505,-0.035475,317.53,447.64,395.82,395.82,-116.1,115.05,-1.0578,-0.27385,-0.27385,-0.3329,0.61,0.75,1.35E+05
3.40E-05,0.116390884,0.013017,448.45,448.45,69.623,1448.1,710.7,-710.7,0.07197,0.07197,0.21197,0.21197,69.624,758.94,0.10781,-0.0017857,0,69.623,1448.121704,69.623,720.13,736.82,1454.4,99.861,0,0,0,0,115.02,0,99.861,115.02,15.158,0,0.019413,0.055,-11.379,69.623,720.13,-0.042234,0,447.62,198.59,198.59,73.674,14.696,447.62,395.88,105.46,105.46,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0.0062505,-0.037626,317.52,447.62,395.82,395.82,-116.1,114.97,-1.1219,-0.28179,-0.28179,-0.33286,0.61,0.75,1.35E+05
3.50E-05,0.116390899,0.013787,448.45,448.45,69.513,1448.1,710.7,-710.7,0.076225,0.076225,0.21787,0.21787,69.514,780.05,0.10781,-0.0017857,0,69.513,1448.121338,69.513,737.6,719.38,1454.4,101.2,0,0,0,0,113.64,0,101.2,113.64,12.442,0,0.022518,0.055,-11.379,69.513,737.6,-0.042234,0,447.59,198.59,198.59,73.681,14.696,447.59,395.88,105.43,105.43,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0.0062505,-0.039839,317.51,447.59,395.82,395.82,-116.09,114.9,-1.1879,-0.28971,-0.28971,-0.33282,0.61,0.75,1.35E+05
3.60E-05,0.116390914,0.014577,448.44,448.44,69.404,1448.1,710.7,-710.7,0.080596,0.080596,0.2237,0.2237,69.406,800.93,0.10781,-0.0017857,0,69.404,1448.120972,69.404,720.13,736.81,1454.4,99.877,0,0,0,0,115.02,0,99.877,115.02,15.142,0,0.025593,0.055,-11.379,69.404,720.13,-0.042234,0,447.56,198.59,198.59,73.687,14.696,447.56,395.88,105.4,105.4,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0.0062504,-0.042113,317.49,447.56,395.82,395.82,-116.08,114.82,-1.2557,-0.2976,-0.2976,-0.33278,0.61,0.75,1.35E+05
3.70E-05,0.116390929,0.015389,448.44,448.44,69.295,1448.1,710.69,-710.69,0.085082,0.085082,0.22953,0.22953,69.297,821.79,0.10781,-0.0017857,0,69.295,1448.120972,69.295,737.6,719.37,1454.4,101.22,0,0,0,0,113.64,0,101.22,113.64,12.426,0,0.028675,0.055,-11.379,69.295,737.6,-0.042234,0,447.54,198.59,198.59,73.694,14.696,447.54,395.88,105.38,105.38,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0.0062504,-0.044449,317.48,447.54,395.82,395.82,-116.07,114.75,-1.3253,-0.30546,-0.30546,-0.33274,0.61,0.75,1.35E+05
3.80E-05,0.116390944,0.016221,448.44,448.44,69.188,1448.1,710.69,-710.69,0.089683,0.089683,0.23529,0.23529,69.19,842.41,0.10781,-0.0017857,0,69.188,1448.12085,69.188,720.12,736.81,1454.4,99.894,0,0,0,0,115.02,0,99.894,115.02,15.127,0,0.031715,0.055,-11.379,69.188,720.12,-0.042234,0,447.51,198.59,198.59,73.702,14.696,447.51,395.88,105.35,105.35,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0.0062503,-0.046844,317.47,447.51,395.82,395.82,-116.06,114.67,-1.3968,-0.31328,-0.31328,-0.3327,0.61,0.75,1.35E+05
