timex,start_x,start_v,start_ph,start_prs,start_pxr,start_ps,start_wfs,start_wfh,start_wfvrs,start_wfvx,start_uf_net,start_uf,start_px,start_a,start_m,tri_x,tri_v,tri_ped,tri_pes,tri_pd,tri_pld,tri_plr,tri_ps,tri_wfd,tri_wfde,tri_wfld,tri_wfle,tri_wflr,tri_wfs,tri_wfse,tri_wfxd,tri_wfsx,tri_wfx,tri_uf_net,tri_uf,tri_m,tri_fext,tri_pel,tri_px,mv_x,mv_v,mv_ps,mv_px,mv_pr,mv_pc,mv_pa,mv_pw,mv_pd,mv_wfs,mv_wfd,mv_wfsr,mv_wfwd,mv_wfw,mv_wfwx,mv_wfxa,mv_wfrc,mv_wfx,mv_wfa,mv_wfc,mv_wfr,mv_uf_net,mv_uf,mv_m,hs_x,hs_v,hs_pf,hs_ph,hs_pl,hs_plx,hs_wff,hs_wfh,hs_wfl,hs_uf_net,hs_uf,hs_f_f,hs_f_cf,fp_sg,fp_beta
-2.00E-06,0.116390742,0,448.55,448.55,73.595,1451.2,711.78,-711.78,0,0,9.54E-07,9.54E-07,73.595,0.0034145,0.10781,-0.0017857,0,73.595,1451.221924,73.595,728.5,728.5,1451.2,100.2,0,0,0,0,114.11,0,100.2,114.11,13.917,-0.00052452,-0.00052452,0.055,-11.374,73.595,728.5,-0.042234,0,448.55,198.59,198.59,73.595,14.696,448.55,395.83,106.45,106.45,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0.0062509,0,317.94,448.55,395.83,395.83,-116.33,116.33,0,-9.20E-05,-9.20E-05,-0.33417,0.61,0.75,1.35E+05
-1.00E-06,0.116390742,0,448.55,448.55,73.595,1451.2,711.78,-711.78,0,0,9.54E-07,9.54E-07,73.595,0.0034145,0.10781,-0.0017857,0,73.595,1451.221924,73.595,728.5,728.5,1451.2,100.2,0,0,0,0,114.11,0,100.2,114.11,13.917,-0.00052452,-0.00052452,0.055,-11.374,73.595,728.5,-0.042234,0,448.55,198.59,198.59,73.595,14.696,448.55,395.83,106.45,106.45,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0.0062509,0,317.94,448.55,395.83,395.83,-116.33,116.33,0,-9.20E-05,-9.20E-05,-0.33417,0.61,0.75,1.35E+05
0,0.116390742,0,448.55,448.55,73.595,1451.2,711.78,-711.78,0,0,9.54E-07,9.54E-07,73.595,0.0034145,0.10781,-0.0017857,0,73.595,1451.221924,73.595,728.5,728.5,1451.2,100.2,0,0,0,0,114.11,0,100.2,114.11,13.917,0,-0.00052452,0.055,-11.374,73.595,728.5,-0.042234,0,448.55,198.59,198.59,73.602,14.696,448.55,395.83,106.45,106.45,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0.0062509,0,317.94,448.55,395.83,395.83,-116.33,116.33,0,-9.20E-05,-9.20E-05,-0.33417,0.61,0.75,1.35E+05
1.00E-06,0.116390742,3.41E-09,448.55,448.55,73.475,1450.1,711.39,-711.39,1.89E-08,1.89E-08,0.0057835,0.0057835,73.475,20.707,0.10781,-0.0017857,0,73.475,1450.142334,73.475,728.69,728.3,1452.3,100.22,0,0,0,0,114.18,0,100.22,114.18,13.963,0,-0.032513,0.055,-11.379,73.475,728.69,-0.042234,0,448.52,198.59,198.59,73.602,14.696,448.52,395.84,106.42,106.42,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0.0062509,-7.13E-07,317.93,448.52,395.83,395.83,-116.32,116.32,-2.13E-05,-0.0099177,-0.0099177,-0.33412,0.61,0.75,1.35E+05
2.00E-06,0.116390742,3.11E-05,448.55,448.55,73.354,1450,711.35,-711.35,0.00017174,0.00017174,0.012258,0.012258,73.354,43.887,0.10781,-0.0017857,0,73.354,1450.014404,73.354,726.94,730.06,1452.4,100.1,0,0,0,0,114.33,0,100.1,114.33,14.237,0,-0.032722,0.055,-11.379,73.354,726.94,-0.042234,0,448.49,198.59,198.59,73.602,14.696,448.49,395.84,106.39,106.39,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0.0062509,-0.00011556,317.92,448.49,395.83,395.83,-116.31,116.31,-0.0034457,-0.018332,-0.018332,-0.33408,0.61,0.75,1.35E+05
3.00E-06,0.116390742,8.65E-05,448.55,448.55,73.234,1449.6,711.21,-711.21,0.00047846,0.00047846,0.018526,0.018526,73.234,66.33,0.10781,-0.0017857,0,73.234,1449.624268,73.234,733.32,723.68,1452.8,100.59,0,0,0,0,113.86,0,100.59,113.86,13.267,0,-0.040375,0.055,-11.379,73.234,733.32,-0.042234,0,448.46,198.59,198.59,73.602,14.696,448.46,395.84,106.36,106.36,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0.0062509,-0.0002901,317.9,448.46,395.83,395.83,-116.31,116.3,-0.00865,-0.026745,-0.026745,-0.33405,0.61,0.75,1.35E+05
4.00E-06,0.116390742,0.00016409,448.55,448.55,73.114,1449.4,711.12,-711.12,0.00090723,0.00090723,0.024863,0.024863,73.114,89.019,0.10781,-0.0017857,0,73.114,1449.36731,73.114,721.93,735.05,1453.1,99.731,0,0,0,0,114.78,0,99.731,114.78,15.047,0,-0.044254,0.055,-11.379,73.114,721.93,-0.042234,0,448.44,198.59,198.59,73.602,14.696,448.44,395.84,106.33,106.33,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0.0062509,-0.00052979,317.89,448.44,395.83,395.83,-116.3,116.29,-0.015797,-0.035159,-0.035159,-0.33401,0.61,0.75,1.35E+05
5.00E-06,0.116390742,0.00026445,448.54,448.54,72.993,1449.1,711.04,-711.04,0.0014621,0.0014621,0.031233,0.031233,72.993,111.83,0.10781,-0.0017857,0,72.993,1449.14978,72.993,736.73,720.28,1453.3,100.87,0,0,0,0,113.63,0,100.87,113.63,12.756,0,-0.047009,0.055,-11.379,72.993,736.73,-0.042234,0,448.41,198.59,198.59,73.602,14.696,448.41,395.84,106.3,106.3,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0.0062509,-0.00083464,317.88,448.41,395.83,395.83,-116.3,116.27,-0.024887,-0.043555,-0.043555,-0.33397,0.61,0.75,1.35E+05
6.00E-06,0.116390742,0.00038768,448.54,448.54,72.874,1449,710.98,-710.98,0.0021434,0.0021434,0.037593,0.037593,72.874,134.6,0.10781,-0.0017857,0,72.874,1448.973511,72.874,720.41,736.57,1453.5,99.633,0,0,0,0,114.93,0,99.633,114.93,15.295,0,-0.048607,0.055,-11.379,72.874,720.41,-0.042234,0,448.38,198.59,198.59,73.602,14.696,448.38,395.84,106.27,106.27,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0.0062509,-0.0012044,317.86,448.38,395.83,395.83,-116.29,116.25,-0.035913,-0.051947,-0.051947,-0.33394,0.61,0.75,1.35E+05
7.00E-06,0.116390742,0.00053366,448.54,448.54,72.753,1448.8,710.93,-710.93,0.0029505,0.0029505,0.043995,0.043995,72.753,157.52,0.10781,-0.0017857,0,72.753,1448.828735,72.753,737.46,719.55,1453.6,100.94,0,0,0,0,113.6,0,100.94,113.6,12.651,0,-0.049305,0.055,-11.379,72.753,737.46,-0.042234,0,448.35,198.59,198.59,73.603,14.696,448.35,395.84,106.24,106.24,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0.0062509,-0.0016392,317.85,448.35,395.83,395.83,-116.28,116.23,-0.048877,-0.060343,-0.060343,-0.3339,0.61,0.75,1.35E+05
