time,DF.ASI010.WFM_MV_ERR,DF.ASI010.WFM_TM,DF.ASI010.WFM_TM_DEM,DF.ASI010.WFM_MV_REF,DF.ASI010.WFM_MV,DF.ASI010.WFM_MV_ERRF,DF.A8_HYDRO_TRIP,DF.A8_HYDRO_FAIL,DF.A8_POS_DT,DF.ASL040.PERSIS,DF.ASL040.ERR_THRES,DF.ASL040.ERROR,DF.ASL040.A8_POS,DF.ASL040.RATE_THRES,DF.ASL040.ENABLE,DF.ASL040.TRIP,DF.ASL040.FAIL,DF.ASL040.RATE,DF.ASL040.FAIL_Timer,DF.ASL040.A8P.A8P_OP_STK,DF.ASL040.A8P.A8P_CL_STK,DF.ASL040.A8P.A8P_QUIET,DF.ASL040.A8P.A8P_STEADY,DF.ASL040.A8P.A8P_POS_FILT_LOC,DF.ASL040.A8P.A8P_POS_DT,DF.ASL040.A8P.A8P_STK_WATCH,DF.ASL040.A8P.A8P_POS_RF_LST,DF.ASL040.A8P.A8P_POS_LST,DF.ASL040.A8P.A8P_MOTION,DF.ASL040.A8P.A8P_REF_DRIFT,DF.ASI040.A8_ERR,DF.ASI040.A8_GAIN,DF.ASI040.A8_LOCK,DF.ASI040.A8_NULL,DF.ASI040.A8_POS_REF_DT,DF.ASI040.A8_TM,DF.ASI040.A8_TM_DEM,DF.ASI040.A8_POS_REF,DF.ASI040.A8_POS,DF.ASI040.VEN_LOAD_X,DF.ASI040.A8P_BIAS,DF.ASI040.A8P_POS_REF_FILT,DF.ASI040.A8P_POS_REF_DT,DF.ASI040.A8P_NUM,DF.ASI040.A8P_AMP_PEAK,DF.ASI040.A8P_CL_NUM,DF.ASI040.A8P_OL_NUM,DF.ASI040.A8P_BIAS_LIM,DF.ASI040.A8P_PRE,DF.ASI040.A8P_LATCH,DF.ASI040.A8P_BIAS_RAW,DF.ASI040.A8P_REQUEST,DF.ASI040.A8P_BIAS_ENABLE,DF.A8_LOOP_ENABLE,DF.ASL041.A8_TM,DF.ASL041.A8_TM_DEM,DF.ASL041.A8_NULL,DF.ASL041.A8_CNV,DF.ASL041.A8_LOOP_TRIP_EN,DF.ASL041.VEN_LOAD_X,DF.ASL041.A8_LK_DETECT,DF.ASL041.A8_A_POS_RATE,DF.ASL041.A8_TM_DEM_LK,DF.ASL041.A8_RATE_THRSH_ADJ,DF.ASL041.A8_LEAK,DF.ASL041.A8_LEAK_RATE_READY,DF.ASL041.A8_LEAK_Timer,DF.ASL041.A8_LK_DETECT_Timer,DF.ASM015.A8P_NUM_REQ,DF.ASM015.A8P_OP_AMP_PK,DF.ASM015.A8P_CL_AMP_PK,DF.ASM015.A8P_OP_ENABLE,DF.ASM015.A8P_ENABLE,DF.ASM015.A8P_CL_ENABLE,DF.A8_LOCK
           0,           0,           1,          20,   78.829573,   78.829573,           0,           0,           0,           0,         0.1,          18,  -0.1892774,   4.2553191,          20,           1,           0,           0,           0,       1e+12,           0,           0,           1,           1,   4.2553191,           0,           1,   4.0660417,   4.2553191,           0,           0,  -0.1892774,         5.5,           0,        22.9,           0,           1,   21.858974,   4.0660417,   4.2553191,        8000,           0,   4.0660417,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           1,           1,   21.858974,        22.9,   4.2553191,           1,        8000,           0,           0,       10.58,           4,           0,           1,       1e+12,       1e+12,           0,          -5,           5,           0,           0,           0,           0
        0.01,           0,           1,          20,   78.829573,   78.829573,           0,           0,           0,           0,         0.1,          18,  -0.1892774,   4.2553191,          20,           1,           0,           0,           0,       1e+12,           0,           0,           1,           1,   4.2553191,           0,           1,   4.0660417,   4.2553191,           0,           0,  -0.1892774,         5.5,           0,        22.9,           0,           1,   21.858974,   4.0660417,   4.2553191,        8000,           0,   4.0660417,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           1,           1,   21.858974,        22.9,   4.2553191,           1,        8000,           0,           0,       10.58,           4,           0,           1,       1e+12,       1e+12,           0,          -5,           5,           0,           0,           0,           0
        0.02,         1.5,           1,    36.60608,   80.329573,   78.829573,       1.116,           0,           0,           0,         0.1,          18,  -0.1892774,   4.2553191,          20,           1,           0,           0,           0,       1e+12,           0,           0,           1,           1,   4.2553191,           0,           1,   4.0660417,   4.2553191,           0,           0,  -0.1892774,         5.5,           0,        22.9,           0,           1,   21.858974,   4.0660417,   4.2553191,        8000,           0,   4.0660417,           0,           0,          -5,           0,           0,           0,           0,           0,           0,           0,           0,           1,           1,   21.858974,        22.9,   4.2553191,           1,        8000,           0,           0,       10.58,           4,           0,           1,       1e+12,       1e+12,           0,          -5,           5,           0,           0,           0,           0
        0.03,   1.9800247,           1,   42.377413,   80.829573,    78.83996,   1.5038584,           0,           0,           0,         0.1,          18,  -0.1892774,   4.2553191,          20,           1,           0,           0,           0,       1e+12,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,  -0.1892774,         5.5,           0,        22.9,           0,           1,   21.858974,   4.0660417,   4.2553191,        8000,           0,   4.0660417,           0,           0,          -5,           0,           0,           0,           0,           0,           0,           0,           0,           1,           1,   21.858974,        22.9,   4.2553191,           1,        8000,           0,           0,       10.58,           4,           0,           1,       1e+12,       1e+12,           0,           0,           0,           0,           0,           0,           0
        0.04,   1.7375907,           1,   40.260322,   80.829573,   78.969861,   1.3615808,           0,           0,           0,         0.1,          18,  -0.1892774,   4.2553191,          20,           1,           0,           0,           0,       1e+12,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,  -0.1892774,         5.5,           0,        22.9,           0,           1,   21.858974,   4.0660417,   4.2553191,        8000,           0,   4.0660417,           0,           0,          -5,           0,           0,           0,           0,           0,           0,           0,           0,           1,           1,   21.858974,        22.9,   4.2553191,           1,        8000,           0,           0,       10.58,           4,           0,           1,       1e+12,       1e+12,           0,           0,           0,           0,           0,           0,           0
